year,Avon,Bedfordshire and Luton,Berkshire,Birmingham and Solihull,Blackpool and Fylde,Buckinghamshire,Cambridgeshire and Peterborough,Carmarthenshire and Pembrokeshire,Ceredigion,Cheshire,Cornwall and the Isles of Scilly,County Durham and Darlington,Coventry,Cumbria,Derby and Derbyshire,Dorset,East Riding of Yorkshire and Kingston-upon-Hull,East Sussex,Essex,Exeter and Greater Devon,Gateshead and South Tyneside,Gloucestershire,Greater Manchester North,Greater Manchester South,Greater Manchester West,Gwent,"Hampshire, Portsmouth and Southampton",Hartlepool,Herefordshire,Hertfordshire,Isle of Wight,Kent Central and South East,Kent Mid and Medway,Kent North East,Kent North West,Lancashire and Blackburn with Darwen,Leicester City and South Leicestershire,Lincolnshire,Liverpool and the Wirral,London City,London East,London Inner North,London Inner South,London Inner West,London North,London South,London West,Manchester City,Milton Keynes,Newcastle and North Tyneside,Norfolk,North Lincolnshire and Grimsby,North Wales (East & Central),North West Wales,North Yorkshire and York,Northamptonshire,Northumberland North,Northumberland South,Nottinghamshire,Oxfordshire,"Plymouth, Torbay and South Devon",Rutland and North Leicestershire,"Sefton, Knowsley and St Helens","Shropshire, Telford and Wrekin",Somerset,South Wales Central,Staffordshire South,Stoke on Trent and North Staffordshire,Suffolk,Sunderland,Surrey,Swansea and Neath Port Talbot,Teesside,The Black Country Jurisdiction,Warwickshire,"West Sussex, Brighton and Hove",Wiltshire and Swindon,Worcestershire,Yorkshire South East,Yorkshire South West,Yorkshire West Eastern,Yorkshire West Western
2013,6,0,1,3,2,0,2,1,0,1,1,4,1,7,2,2,0,0,0,1,1,2,4,9,5,0,0,0,0,2,0,2,2,0,0,1,6,3,5,3,3,10,6,0,3,2,0,5,3,0,3,1,5,0,0,0,0,0,2,2,1,1,0,1,3,4,5,0,0,2,6,0,1,2,0,3,3,3,2,4,3,5
2014,8,10,4,7,5,4,3,4,0,2,3,10,5,10,1,1,1,1,10,8,3,0,15,39,12,4,13,0,0,4,4,4,3,3,0,5,10,9,7,0,3,30,22,10,16,5,5,5,7,1,17,1,13,2,2,2,5,1,7,7,7,2,0,3,3,12,11,2,5,7,22,2,6,11,3,19,9,3,5,6,12,4
2015,13,5,4,18,4,1,2,3,0,0,4,16,1,7,3,1,1,0,6,9,1,2,12,36,23,2,4,1,0,2,2,4,6,0,0,6,16,8,5,2,9,25,12,2,14,4,3,2,3,3,14,1,9,3,0,3,1,0,13,5,4,1,0,3,1,19,5,8,2,4,8,2,0,6,2,15,12,10,11,4,11,6
2016,8,7,3,16,2,1,3,5,0,6,17,10,3,6,2,2,1,1,8,7,0,3,7,28,18,1,12,0,0,4,2,3,8,0,1,10,11,8,5,1,9,23,14,8,6,7,3,9,5,2,6,0,4,1,2,1,2,0,11,0,9,2,0,4,2,13,2,3,2,2,19,2,3,8,5,13,6,4,8,6,7,14
2017,10,10,5,11,2,3,3,2,0,5,8,3,4,4,2,2,2,2,5,9,0,9,15,26,17,0,12,0,0,2,1,5,3,1,2,6,4,3,8,2,6,27,12,8,5,2,5,9,8,3,7,1,12,1,1,3,2,0,12,1,2,0,0,1,2,18,7,0,1,4,13,2,0,15,1,14,8,2,8,5,6,4
2018,8,7,3,18,4,2,0,2,0,0,10,4,3,2,5,8,2,1,3,3,0,6,11,42,12,2,4,0,0,5,4,0,3,1,1,3,4,2,4,0,8,23,12,12,2,4,6,3,6,2,2,0,5,1,2,6,0,0,5,2,7,0,0,2,2,8,8,6,5,7,7,0,0,11,7,9,5,4,4,12,12,11
2019,11,8,9,29,5,4,2,3,0,10,8,4,0,6,3,7,2,6,2,2,2,10,16,49,8,2,11,1,1,1,4,3,2,1,2,2,4,6,3,2,9,25,17,10,2,3,8,13,9,4,14,0,8,0,0,2,1,0,10,4,7,0,0,2,0,17,10,5,12,3,9,4,0,7,3,21,6,4,3,8,9,8
2020,2,6,1,5,6,0,0,0,0,0,9,10,2,5,7,5,0,1,13,1,0,0,3,39,4,3,3,0,1,4,1,2,2,5,0,5,2,6,3,0,22,12,6,2,4,3,2,0,5,2,7,0,2,0,0,3,0,0,4,1,2,1,0,4,0,5,7,3,6,2,10,4,0,6,3,11,2,2,0,5,5,4
2021,3,2,4,10,5,2,10,0,1,0,8,4,0,2,5,9,1,1,3,2,0,0,12,45,3,8,6,0,0,1,1,0,15,1,1,7,3,3,5,1,19,24,10,3,0,5,5,6,7,4,6,0,5,2,2,1,2,0,12,4,5,0,1,1,0,5,5,12,5,4,12,2,0,8,4,22,0,6,4,4,19,11
2022,7,7,6,12,3,2,4,1,0,2,10,6,0,5,3,10,5,2,4,1,0,1,6,42,4,7,9,2,3,3,0,1,8,7,0,2,2,4,4,0,25,16,6,4,2,2,7,7,3,4,14,1,6,2,6,2,2,0,11,1,3,1,2,1,3,12,0,1,5,4,23,1,0,3,2,7,1,3,0,13,6,7
2023,3,2,5,7,2,0,3,0,0,1,9,2,0,5,6,7,2,0,7,0,0,1,2,16,0,6,1,0,4,0,0,1,2,1,0,1,3,1,4,1,12,5,2,4,3,2,3,1,5,2,3,0,7,2,2,2,2,0,3,0,1,0,1,0,2,0,0,3,4,2,9,2,0,0,3,6,1,5,0,0,6,3
