area,Acting Coroner,Area Coroner,Assistant Coroner,Deputy Chief Coroner,Judge Coroner,Retired/Honorary members,Senior Coroner
Avon,0,1,4,0,0,0,1
Bedfordshire and Luton,0,0,3,0,0,0,1
Berkshire,0,1,4,0,0,0,1
Birmingham and Solihull,0,2,6,0,0,0,0
Blackpool and Fylde,0,0,5,0,0,0,2
Buckinghamshire,0,0,0,0,0,0,2
Cambridgeshire and Peterborough,0,3,8,0,0,0,1
Carmarthenshire and Pembrokeshire,1,0,1,0,0,0,0
Ceredigion,0,0,2,0,0,0,0
Cheshire,0,1,4,0,0,0,1
Cornwall and the Isles of Scilly,0,0,5,0,0,0,1
County Durham and Darlington,0,0,6,0,0,0,0
"County of Devon, Plymouth & Torbay",0,2,5,0,0,0,1
Coventry,0,1,3,0,0,0,0
Cumbria,0,1,5,0,0,0,2
Derby and Derbyshire,0,1,8,0,0,0,2
Dorset,0,1,5,0,0,0,1
East Riding of Yorkshire and Kingston-upon-Hull,0,1,7,0,0,0,1
East Sussex,1,0,5,0,0,0,0
Essex,0,3,9,0,0,0,2
Gateshead and South Tyneside,0,0,2,0,0,0,1
Greater Lincolnshire,0,1,5,0,0,0,2
Greater Manchester North,0,1,3,0,0,0,0
Greater Manchester South,0,1,7,0,0,0,1
Greater Manchester West,0,2,7,0,0,0,2
Gwent,0,1,3,0,0,0,1
"Hampshire, Portsmouth and Southampton",0,3,11,0,0,0,1
Herefordshire,0,0,1,0,0,0,0
Hertfordshire,0,1,6,0,0,0,0
Kent Central and South East,0,1,0,0,0,0,0
Kent Mid and Medway,0,1,6,0,0,0,2
Kent North East,0,1,1,0,0,0,0
Lancashire and Blackburn with Darwen,0,2,10,0,0,0,1
Leicester City and South Leicestershire,0,1,2,0,0,0,1
Liverpool and the Wirral,0,1,4,0,0,0,1
London City,0,0,2,0,0,1,0
London East,0,1,2,0,0,0,0
London Inner North,0,0,6,0,0,0,1
London Inner South,0,0,14,0,0,0,3
London Inner West,0,0,7,0,0,0,2
London North,0,1,3,0,0,0,1
London South,0,0,8,0,0,0,1
London West,0,0,2,0,0,0,1
Manchester City,0,2,5,0,0,0,1
Milton Keynes,0,0,2,0,0,0,1
Newcastle and North Tyneside,0,0,3,0,0,0,1
Norfolk,0,2,2,0,0,0,1
North Wales (East & Central),0,0,2,0,0,0,0
North West Wales,0,0,1,0,0,0,2
North Yorkshire and York,0,1,6,0,0,0,0
Northamptonshire,0,0,3,0,0,0,1
Northumberland,0,0,0,0,0,0,1
Nottinghamshire,0,1,10,0,0,0,0
Oxfordshire,0,0,3,0,0,0,1
Rutland and North Leicestershire,0,0,0,0,0,0,1
"Sefton, Knowsley and St Helens",0,0,0,0,0,0,1
"Shropshire, Telford and Wrekin",0,0,1,0,0,0,1
Somerset,0,0,1,0,0,0,2
South Wales Central,0,1,7,0,0,0,1
Staffordshire and Stoke-on-Trent,0,0,5,0,0,0,1
Suffolk,0,1,3,0,0,0,1
Sunderland,0,0,1,1,0,0,0
Surrey,0,1,10,0,0,0,2
Swansea and Neath Port Talbot,1,0,5,0,0,0,0
Teesside and Hartlepool,0,0,5,0,0,0,1
The Black Country Jurisdiction,0,1,2,0,0,0,1
Warwickshire,0,0,6,0,0,0,1
"West Sussex, Brighton and Hove",0,2,10,0,0,0,1
Wiltshire and Swindon,0,1,0,0,0,0,1
Worcestershire,0,0,0,0,0,0,2
Yorkshire South East,0,1,6,0,1,0,1
Yorkshire South West,0,0,10,0,0,0,1
Yorkshire West Eastern,0,2,9,0,0,0,1
Yorkshire West Western,0,0,6,0,0,0,0
